MANIFESTID,TRUCKNO,DRIVER,ManIfestPool,SHIPDATE,Company,TRAILER,STATUS,ManIfest Warehouse,ManIfestName,ManIfestWeIght,CREATEDDATETIME,POSTINGSTARTDATETIME,POSTINGSTARTDATETIMETZID,POSTINGENDDATETIME,POSTINGENDDATETIMETZID,INVENTTRANSID,SALESID,STOPNUMBER,CustAccount,SCANNEDQTY,REASON,PACKINGSLIPID,SCANNEDERRORSQTY,LIneWeIght,PRODUCTDESCRIPTION,PICKEDQTY,PRODUCTINDICATOR,MANIFESTSTOPTYPE,ReferenceNumber,REMAINSALESPHYSICAL,DELIVERYNAME,BIllIngSQFTtotal,SaleAmount,ManIfestPostedDate,ShIp date From PS
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599227721,SO10077622,40,15677,1,,SS12354676,0,24.59175618,9 1/8 X 79 11/16 {Shape:04} 24.59<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988887,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599227827,SO10077622,40,15677,1,,SS12354676,0,81.22730387,79 9/16 X 30 3/16 {Shape:04} 81.23<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975723,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599227851,SO10077622,40,15677,1,,SS12354676,0,25.93924967,9 5/8 X 79 11/16 {Shape:00} 25.94<BR>3/8 Clear Tempered<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988888,1,,5.56,73.12,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599227974,SO10077622,40,15677,1,,SS12354676,0,81.39547635,79 9/16 X 30 1/4 {Shape:04} 81.40<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975724,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599228245,SO10077622,40,15677,1,,SS12354676,0,24.57246853,79 5/8 X 9 1/8 {Shape:21} 24.57<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988889,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599228612,SO10077622,40,15677,1,,SS12354676,0,81.33153646,79 1/2 X 30 1/4 {Shape:24} 81.33<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975725,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599229146,SO10077622,40,15677,1,,SS12354676,0,25.07738227,79 5/8 X 9 5/16 {Shape:17} 25.08<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988890,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599230371,SO10077622,40,15677,1,,SS12354676,0,80.99545573,79 1/2 X 30 1/8 {Shape:24} 81.00<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975726,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599230812,SO10077622,40,15677,1,,SS12354676,0,24.23585938,79 5/8 X 9 {Shape:23} 24.24<BR>3/8 Clear Tempered<BR>Triangles & Traps<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55988891,1,,5.56,98.29,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,599230976,SO10077622,40,15677,1,,SS12354676,0,81.33153646,79 1/2 X 30 1/4 {Shape:18} 81.33<BR>Shower Glass- 3/8<BR>Triangles & Traps<BR>Notches<BR>Holes < 1<BR>Polishing        Side: 1 2 3 4<BR>3101,0,M,0,W55975727,1,,17.78,248.63,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,600467195,SO10094416,40,15677,1,,SS12354688,0,50.35665365,25 1/4 X 44 1/4 {Shape:00} 50.36<BR>1/2 Clear Annealed<BR>Seam             Side: 1 2 3<BR>3101,0,M,0,W55999775,1,,8.31,66.44,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,600467221,SO10094416,40,15677,1,,SS12354688,0,12.96,24 X 24 {Shape:00} 12.96<BR>1/4 Clear Annealed<BR>3101,0,M,0,W55999776,1,,4,16.4,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,600584817,SO10095662,57,15807,1,,SS12354696,0,2.2,Shower Door Knob Sdk106ch<BR>3101,0,HDW,0,PO1032601,1,,0,16.45,14:54.0,9/22/2023
SM000274135,180529,Alex Duran,3101,9/25/2023,aag,180529,2,W31,,7724.310485,23:53.0,04:31.0,37001,14:54.0,37001,600584818,SO10095662,57,15807,1,,SS12354696,0,0,CRL Brushed Stainless Steel Deluxe 180 Degree Cambridge Seri<BR>3101,0,HDW,0,PO1032601,1,,0,407.82,14:54.0,9/22/2023
